index,nlipktrlsm,tahuntrlsm,kdjektrlsm,jalur,llsketrlsm,toefltrlsm,kursitrlsm,jcutitrlsm,stwsdtrlsm,nmpstmspst,preditrlsm,tepat_waktu
1165,2.0,2014.0,1,1,8039.0,453.0,132.0,0.0,0.0,4,4,True
2949,2.0,2013.0,2,1,7683.0,507.5,141.0,0.0,0.0,4,4,False
2897,1.0,2013.0,1,3,7631.0,403.0,112.0,0.0,0.0,2,4,False
2996,3.0,2012.0,2,2,6319.0,447.0,4.0,0.0,0.0,3,2,True
1497,2.0,2009.0,1,0,5035.0,417.0,77.0,0.0,0.0,3,4,False
1761,2.0,2014.0,2,3,7820.0,407.0,116.0,0.0,0.0,2,4,True
3941,2.0,2012.0,2,1,8513.0,410.0,152.125,0.0,0.0,5,4,False
328,2.0,2010.0,2,1,5120.0,483.0,77.0,0.0,0.0,6,4,True
3686,3.0,2012.0,2,0,4789.0,440.0,77.0,0.0,0.0,5,2,False
3150,2.0,2011.0,2,3,5918.0,480.0,123.0,0.0,0.0,2,4,True
2312,2.0,2012.0,2,3,6754.0,457.0,85.0,0.0,0.0,2,4,False
1621,1.0,2011.0,1,4,7778.0,410.0,143.0,0.0,0.0,1,4,False
116,1.0,2010.0,1,1,5667.0,400.0,58.0,0.0,0.0,6,4,False
2803,3.0,2010.0,2,1,5324.0,407.0,77.0,0.0,0.0,4,2,True
2397,3.0,2009.0,2,0,4931.0,400.0,77.0,0.0,0.0,3,2,True
2716,2.0,2010.0,1,1,5239.0,433.0,77.0,0.0,0.0,6,4,True
2421,2.0,2011.0,2,3,4956.0,400.0,77.0,0.0,0.0,2,4,True
3261,1.0,2008.0,1,0,6049.0,437.0,152.125,0.0,0.0,5,4,False
1325,2.0,2012.0,2,3,6513.0,400.0,107.0,0.0,0.0,2,4,True
